Neurones,Essais,Taux,Erreur,Moyenne
50,10000,0.001, 0.08631542  0.09596443  0.09160084  0.09939757  0.08444688,0.091545028
20,1000,0.02," 0.08025358,0.0963495, 0.0999338, 0.10596967,0.07531733",0.09156477600000001
40,1000,0.01, 0.11012369  0.07875071  0.09473179  0.10448882  0.07737358,0.09309371799999999
30,1000,0.01, 0.07294669  0.08864938  0.0874767   0.1167815   0.10063671,0.093298196
40,1000,0.01, 0.08848551  0.09660769  0.09469624  0.10524916  0.08358515,0.09372475
20,1000,0.02, 0.12251273  0.08027642  0.09119089  0.09705882  0.07789627,0.093787026
50,1000,0.01, 0.08700036  0.07327027  0.10878949  0.12000614  0.08276949,0.09436715
20,1000,0.01, 0.10531742  0.08501756  0.08271888  0.09128777  0.11019047,0.09490641999999999
50,1000,0.01, 0.11775663  0.08777055  0.10175911  0.09144522  0.07593043,0.094932388
12,10000,0.02, 0.11134483  0.10577928  0.10498889  0.11123435  0.04505163,0.095679796
50,1000,0.01, 0.09891066  0.10629354  0.09050224  0.10164214  0.08221515,0.09591274600000001
30,10000,0.02, 0.10287228  0.1023159   0.10213351  0.11562847  0.05865113,0.09632025799999999
100,10000,0.008, 0.14956137  0.12413616  0.08684532  0.07168008  0.05042628,0.09652984199999999
50,1000,0.01, 0.09315155  0.10834591  0.10946873  0.11272048  0.06034372,0.096806078
50,1000,0.01, 0.12635889  0.09185264  0.09812191  0.0888073   0.08282792,0.097593732
40,1000,0.008, 0.10496329  0.11486441  0.08266579  0.09247722  0.09966117,0.09892637600000001
25,10000,0.001, 0.09794654  0.10040762  0.08517555  0.09063412  0.12201893,0.09923655199999999
80,1000,0.004," 0.07346658,0.08475415,0.10062861,0.12528062,0.11233917",0.099293826
140,10000,0.007, 0.06721775  0.08326096  0.17076705  0.11677105  0.06117842,0.09983904600000001
35,10000,0.001, 0.10590722  0.08326347  0.10144653  0.10968329  0.09998479,0.10005706
65,10000,0.02, 0.10402271  0.11837929  0.11070615  0.12116424  0.0487194 ,0.10059835799999998
100,10000,0.0075, 0.06928472  0.11250556  0.09498011  0.17802018  0.05677218,0.10231254999999999
40,1000,0.008, 0.08729971  0.1124435   0.09689155  0.10454422  0.11041191,0.10231817799999998
100,10000,0.007, 0.17097517  0.0606175   0.14871072  0.07693223  0.06080547,0.103608218
100,1000,0.003, 0.09961518  0.11275202  0.10157415  0.11250502  0.09373104,0.10403548200000001
140,10000,0.008, 0.14186205  0.08280219  0.1483305   0.09653211  0.0521905 ,0.10434347
100,1000,0.005," 0.10801816,0.09145845,0.11512593,0.1043735, 0.10307171",0.10440955
10,1000,0.02, 0.10883762  0.09996741  0.09790677  0.12271941  0.09310861,0.104507964
15,10000,0.02, 0.12408158  0.11223857  0.13176347  0.11727423  0.04012484,0.105096538
10,1000,0.021, 0.1096493   0.09461729  0.10238416  0.11099644  0.1100901 ,0.10554745800000001
150,10000,0.01, 0.1740996   0.07830229  0.12433047  0.11018322  0.04655672,0.10669446
8,10000,0.02, 0.12715536  0.11812902  0.12143583  0.12612725  0.05202308,0.108974108
80,6540,0.024, 0.11838023  0.12719666  0.10406639  0.15456886  0.04688739,0.110219906
50,1000,0.005, 0.12404162  0.09672944  0.11895836  0.10335822  0.10957791,0.11053310999999999
90,1000,0.005, 0.07804616  0.11240758  0.09325051  0.16145194  0.11015857,0.11106295199999998
9,1000,0.0154, 0.11516431  0.10435473  0.11743006  0.11932136  0.1109695 ,0.113447992
40,1000,0.005, 0.09605194  0.12425063  0.09774919  0.12342233  0.14715176,0.11772517
100,10000,0.01, 0.18663219  0.09609677  0.10509972  0.14575355  0.05831506,0.118379458
25,1000,0.01, 0.11791982  0.11728957  0.10172183  0.10574572  0.15211904,0.118959196
62,1000,0.01, 0.16583474  0.11282492  0.12743209  0.12041707  0.07750843,0.12080344999999999
24,1000,0.006, 0.10205906  0.11677654  0.11131848  0.11252377  0.19326569,0.12718870799999998
