Neurones,Essais,Taux,Erreur,Moyenne
5,0,0.01, 24.12227424   6.40606607   8.68839941  11.96531076  22.29538364,14.695486824
200,1000,0.001, 38.32345857  39.05505006   0.16254598   0.12388838   0.14563802,15.562116202000002
100,1000,0.001, 38.33411609  38.99462925   0.07772629   0.19629348   0.29819553,15.580192128000002
300,1001,0.02, 38.33498905   6.54253423   6.79048427  29.67909844   3.73028629,17.015478456
100,10,0.02, 25.27930899  19.94905279  11.51185134  26.42670017   3.73019367,17.379421392
10,0,0.0, 30.05756411   3.1785441   21.3790072   13.55441936  19.14642184,17.463191322
80,10,0.024, 17.75602464  15.36854509  30.17573423  28.21587789   0.46441807,18.396119984
1600,1000,1E-05, 29.58125008   3.4858713   25.09671881  29.67826489   5.10004493,18.588430002000003
150,1000,0.04, 29.58124868  29.04273691  30.24620703   5.67945088   3.72874702,19.655678104000003
50,0,0.01, 32.80156482  11.76014362  17.79833082  34.70536735   1.25474778,19.664030878000002
20,50,0.2, 2.1754195   2.72467325  1.91078861  2.7242945   0.65219571,2.037474314
10,1000,0.4, 2.57163971  2.6759568   2.46755259  2.56825929  0.29961896,2.11660547
150,1000,0.01, 2.40555156  2.84363083  2.84996554  2.69599771  0.07782347,2.174593822
150,1000,0.01, 3.20765068  2.08131924  2.9462949   2.59608419  0.14934746,2.196139294
7,1000,0.001, 1.53526988  3.13091088  1.77741598  3.13533534  1.71771628,2.259329672
150,1000,0.01, 2.53969286  2.18513849  3.15861354  3.40131108  0.08321296,2.273593786
40,1000,0.0001, 2.64677204  0.92303102  3.62268298  2.82477514  2.00187057,2.40382635
150,1000,0.01, 3.05653421  2.74164227  2.94757604  3.40869632  0.05937912,2.4427655919999998
150,1000,0.008484, 3.06079618  3.04407041  3.6712015   2.90177453  0.06149574,2.5478676719999998
150,1000,0.0101," 2.94769588,2.87782918,2.76950069,2.91966422,1.50081872",2.6031017380000003
150,1000,0.01, 3.12104328  3.61313041  3.98045384  3.26175025  0.08097305,2.8114701660000003
50,0,0.01, 34.50644015  27.16983031  28.30893768  14.23175366   2.13390559,21.270173477999997
250,1000,0.02, 29.57997216  39.05480733   5.37344881  29.68042076   3.73029243,21.483788298
50,0,0.01, 31.95833605  19.89245439  22.57303752  31.03908625   3.71302727,21.835188296
1000,1000,0.001, 38.33501107  39.05438224   3.76044274  29.68088693   0.08831681,22.183807958
60,0,0.0, 29.46205899  12.37318878   1.29226868  36.71881085  31.42275222,22.253815904
80,0,0.041, 14.13524947  22.73847206  37.4339516   35.33326807   3.72661531,22.673511302
100,1000,0.05, 38.3344769   29.04264278   4.51676556  38.25238878   3.73028981,22.775312766
650,1000,0.01, 38.32037588  29.0427408   37.52671496   7.59938015   3.72980303,23.243802964000004
10,100,1.0, 29.57132735  26.16711054  30.23546031  29.67889095   3.72944432,23.876446694000002
10,0,0.0, 10.53740117   8.89948022  37.05639226  37.39709539  28.33089813,24.444253434
150,1000,0.21, 29.58125034  29.04280487  30.24621792  29.68093742   3.73029249,24.456300608
15,0,0.01, 27.79191501  38.6079599   29.25420956   9.53596438  21.73637925,25.385285619999998
10,10,0.4, 38.23684965  28.74371224  30.23806327  29.62894574   2.06428636,25.782371452
15010,10,0.0001," 29.58125034,29.01397943,37.52689877,29.68005552, 3.74649714",25.90973624
80,100,0.08, 29.58125025  29.04277577  37.52687922  29.68085979   3.72945313,25.912243632000003
70,1000,0.0804, 29.58121835  29.04279329  37.5268894   29.68090397   3.72993288,25.912347578000002
150,1000,0.213501, 29.58125034  29.04280484  37.52689877  29.68093742   3.73029249,25.912436772
600,100,0.015, 29.57519013  29.04280486  30.24621781  38.25455857   3.73028833,26.16981194
1000,100,0.01," 38.33500415,29.04280487,30.24621755,29.68087682, 3.73014872",26.207010421999996
40,1000,0.201, 38.33500583  29.0428024   30.24621792  29.68093741   3.73029249,26.207051209999996
1000,100,0.05, 29.58125024  39.05530487  30.24621792  29.68093742   3.12450077,26.337642244
800,100,0.05," 29.58125029,39.05529925,30.24621792,29.68093742, 3.73029249",26.458799474
10,10,10.0, 29.58125034  39.05530487  30.24621792  29.68093689   3.73029249,26.458800502000003
10,10,10.0, 29.58125034  39.05530487  30.24621792  29.68093742   3.73029249,26.458800608
25,100,2.0, 29.58125034  39.05530487  30.24621792  29.68093742   3.73029249,26.458800608
100,1,1.0," 29.58125034,39.05530488,30.24621792,29.68093742, 3.73029249",26.458800610000004
50,0,0.0, 37.5605483   16.50999066  34.85124523   5.93433874  42.74550616,27.520325818000003
68,1000,0.2045, 38.33501162  29.04280477  37.52689877  29.68092009   3.73029249,27.663185548
10,10,10.0, 38.33501162  29.04280487  37.52689877  29.68093742   3.73029249,27.663189034000006
30,50,2.0, 38.33501162  29.04280487  37.52689877  29.68093742   3.73029249,27.663189034000006
100,100,0.11," 38.33501162,39.05390818,30.24621,, 29.68093723, 3.73029239",28.209271883999996
120,10000,0.0001, 29.48563865  39.05445457  37.46271491  38.24474402   0.22076988,28.893664406
150,1000,0.01, 3.47367543  3.43751946  3.04814444  2.59013455  3.71299506,3.252493788
4,1000,0.5, 3.92685381  3.95839686  3.90431437  3.9501676   1.14059121,3.37606477
12,10000,0.5, 4.11238138  4.1982082   3.84454484  4.02010895  0.89579564,3.414207802
10,100,0.002, 5.56646961  6.0437768   1.96997171  2.17317397  1.52772143,3.4562227040000004
2,10,0.1, 5.54940714  3.42199164  4.52608463  4.28942745  1.87998474,3.93337912
1,1000,0.01, 4.71063747  4.72265406  4.71823927  4.72911923  1.04900097,3.9859302
90,0,0.05, 22.26552234   0.68032598  36.61066715  19.66274666  77.5056395 ,31.344980325999995
60,1000,0.0, 11.9705857   28.53990871  36.13683977  11.44749758  81.16959152,33.852884656
40,0,0.05," 12.39985322,20.23542267,23.00245841,30.34027482,86.22948469",34.441498762
40,0,0.0, 34.09332748  28.64286199  24.47515355  29.62111883  59.43950662,35.254393694
80,0,0.01, 34.28644298  37.78372418  26.69907222  23.3058209   64.82805986,37.380624028
600,1000,0.01," 29.58115364,23.73197579,18.54772269,29.68093728,87.63434932",37.835227743999994
1000,1000,0.01, 29.58124211  29.04280323  12.72430709  38.25366035  87.63168476,39.44673950799999
1,100,0.01, 4.78438715  4.79515924  4.79793487  4.80516481  1.7017955 ,4.176888314
10,1000,0.4, 5.28238978  5.04271914  5.16125162  5.10945577  0.62603053,4.244369368
100,100,0.01, 6.72821521  4.93408596  4.00668836  2.79144491  3.72157437,4.436401762
60,0,0.01, 22.88374083  39.00941477  37.47169685  37.20433469  71.02678224,41.519193875999996
120,10,21.0,29.58125034  29.04280487  30.24621792  38.2545586   87.63434932,42.951836209999996
10,0,0.01, 8.23040434  4.7069901   4.72551225  8.3855682   1.54945745,5.519586468
75,1000,0.01, 29.58020701   0.60580822   0.79729823   0.89719257   0.05748549,6.387598304
150,10000,0.001, 38.33215856   0.07848359   0.07969765   0.08334456   0.09242875,7.733222622000001
500,1000,0.001, 38.33278986   0.26155237   0.11980341   0.27679055   0.16500479,7.831188195999999
100,1000,0.001, 38.33467762   0.15990934   0.13231774   0.33256224   0.37102445,7.866098278
30,1000,0.05," 0.47347959,0.49599131,0.41788061,0.46169625,0.10327952",0.390465456
20,1000,0.05," 0.26624082,0.30245246,0.28583597,0.28256115,0.04729746",0.23687757199999998
20,1000,0.02," 0.0956172, 0.08828694,0.09112805,0.09826964,0.09081092",0.09282255
20,1000,0.04," 0.22243455,0.20400982,0.23420718,0.22123991,0.06734722",0.189847736
20,1000,0.04, 0.2075174   0.24713641  0.23271216  0.25305571  0.06133653,0.200351642
20,100000,0.008," 0.05420627,0.05512152,0.05505904,0.05573859,0.03320164",0.050665412
30,1000,0.04," 0.25429866,0.3720528, 0.35058119,0.37443495,0.09337223",0.28894796599999995
20,1000,0.04," 0.22848455,0.16269626,0.19763958,0.22226483,0.07816473",0.17784999
20,1000,0.06," 0.35436622,0.37745282,0.35715471,0.32837019,0.06146446",0.29576168
14,1000,0.04," 0.23901363,0.24230143,0.24421457,0.24335439,0.09047782",0.211872368
10,1000,0.06," 0.31961655,0.3349904, 0.31233963,0.34772125,0.05335912",0.27360539
30,1000,0.05," 0.33265059,0.33000965,0.36875264,0.32037821,0.08564127",0.287486472
20,1000,0.01," 0.10722639,0.0924994, 0.10563674,0.10339487,0.37915663",0.15758280600000002
210,1000,0.01," 29.57780271, 4.09588117, 4.20291398, 5.24166396, 0.06162329",8.635977022
10,1000,0.04," 0.24593246,0.22579492,0.24403909,0.22640121,0.0801221 ",0.20445795600000002
30,140,1000.0," nan,nan,nan,nan,nan",nan
20,100,0.04," 0.32939036,0.45068811,0.24005768,0.23135958,0.42017206",0.334333558
10,1000,0.01," 0.1337525, 0.1163326, 0.11492817,0.12475593,1.23354834",0.344663508
40,1000,0.005," 0.11584822,0.10125839,0.0918171, 0.11647316,0.1482258 ",0.114724534
20,1000,0.04," 0.23425354,0.22301061,0.21124548,0.21591065,0.06150316",0.189184688
10,10000,0.04," 0.2172015, 0.21518956,0.21620175,0.21926655,0.05715564",0.18500299999999997
10,1000,0.04," 0.25302211,0.25310614,0.2747009, 0.29604104,0.07660324",0.230694686
20,1000,0.04," 0.27905469,0.2771694, 0.28190245,0.30690422,0.06780245",0.24256664200000003
15,1000,0.01," 0.13881409,0.10374282,0.1177542, 0.15617923,0.26283272",0.155864612
30,1000,0.04," 0.27771247,0.28471568,0.31350123,0.30829792,0.07151579",0.25114861800000005
20,5000,0.04," 0.20985531,0.19847318,0.20298798,0.21376438,0.05913481",0.176843132
30,1000,0.02," 0.11317406,0.09635233,0.17747448,0.11169037,0.06500173",0.112738594
50,1000,0.01," 0.09133627,0.08198611,0.0930399, 0.08614202,0.0800905 ",0.08651896
20,1000,0.01," 0.08405314,0.10805847,0.10911842,0.11350012,0.08589533",0.100125096
30,1000,0.05," 0.31893563,0.31509703,0.33277596,0.41229674,0.07115552",0.290052176
300,1000,0.05," 29.58125034,39.05527747,37.52689876,38.25455841, 3.73029249",29.62965549400001
20,1000,0.04," 0.20309287,0.2107441, 0.21808841,0.27277764,0.06446676",0.19383395599999997
150,10000,0.003," 0.09511677,0.06506298,0.08833212,0.06927235,0.05208192",0.073973228
30,1000,0.05," 0.33322751,0.37996437,0.34172885,0.32564719,0.07645589",0.29140476200000004
300,1000,0.002," 0.35616914,0.76968078,0.75183039,0.72650344,0.08472581",0.537781912
20,1000,0.052," 0.28638292,0.29746341,0.26359014,0.28935144,0.05330227",0.238018036
30,1000,0.02," 0.08399161,0.10521231,0.09330107,0.09617898,0.07198063",0.09013291999999999
30,10000,0.02," 0.0892715, 0.08243743,0.09934424,0.08829472,0.04841054",0.081551686
20,1000,0.02," 0.08589925,0.09811852,0.12200778,0.11883594,0.06422527",0.097817352
20,1000,0.05," 0.25847381,0.24629628,0.22580592,0.25302046,0.07147317",0.21101392800000002
30,1000,0.02," 0.11664248,0.08566222,0.1001802, 0.08596036,0.06641188",0.090971428
25,10000,0.02," 0.09888228,0.09586205,0.09698544,0.10653775,0.04337617",0.08832873799999999
15,100,0.02," 0.37986415,0.35199613,0.63989684,0.25518064,1.20689872",0.5667672960000001
150,60,80.0," nan,nan,nan,nan,nan",nan
125,1000,0.02," 2.88069363,2.04517988,1.93390075,2.19396643,3.65997222",2.5427425820000003
120,1000,0.02," 0.74555749,0.76313715,1.23302605,0.74449108,0.11133757",0.719509868
25,10,0.02," 0.42108191,2.12500645,4.08163412,2.28503907,0.58565468",1.8996832459999997
25,100,0.02," 0.12052423,0.15983865,0.10939977,0.1333555, 0.8705564 ",0.27873491
30,25,0.02," 4.35301418,3.04887261,1.91143475,3.02020491,0.7175706 ",2.61021941
25,1000,0.01," 0.1246246, 0.09602479,0.13391729,0.10345652,0.13020635",0.11764590999999999
25,1000,0.01," 0.12282151,0.09591437,0.10275054,0.10041387,0.09547353",0.103474764
20,1000,0.01," 0.10575602,0.10697038,0.13024589,0.10875741,0.27001925",0.14434979
21,1000,0.01," 0.11290311,0.11139693,0.10424602,0.11951674,0.14196483",0.118005526
10,100,0.02," 0.63062605,0.5404577, 0.59431223,0.78704705,1.63405974",0.8373005540000001
10,100,0.01," 1.59918226,0.72606768,0.69855983,0.69371741,1.67915062",1.07933556
20,1000,0.01," 0.11535966,0.13060184,0.10890029,0.13736292,0.35023757",0.168492456
100,10000,0.001," 0.06665654,0.06860831,0.07814628,0.09277042,0.06689612",0.07461553400000001
40,1000,0.005," 0.1033454, 0.10319843,0.1159526, 0.11862372,0.11717578",0.111659186
100,1000,0.05," 29.58122819,29.04274789,37.52671794,29.68073471, 3.73021679",25.912329104
100,1000,0.005," 0.12957571,0.07977582,0.09561608,0.09693495,0.07250804",0.09488212
10,1000,0.006," 0.1811617, 0.12357842,0.17615376,0.22119057,0.66269148",0.272955186
10,100,0.05," 0.16671006,0.21640736,0.18043062,0.22132361,1.1051504 ",0.37800441000000007
250,60,800.0," nan,nan,nan,nan,nan",nan
150,1000,0.06," 29.58124903,29.04278969,30.24621792,29.68093691, 3.73029242",24.456297194
10,100,0.006," 2.88985344,0.93007205,2.06791246,1.69365577,2.02373799",1.9210463419999997
150,1000,0.006," 1.72963435,1.79644217,2.15536469,1.96787122,0.09522583",1.548907652
100,1000,0.004," 0.12057409,0.08136429,0.08287213,0.09023729,0.07260546",0.08953065200000002
150,1000,0.008," 2.66531613,2.69214441,2.95643533,3.49238363,0.09120032",2.3794959639999997
30,1000,0.001," 0.39147319,0.31471796,0.28032205,0.44751283,0.92670045",0.47214529600000005
20,1000,0.006," 0.13428992,0.11710058,0.14078363,0.12478031,0.36884973",0.177160834
14,1000,0.06," 0.31567305,0.31375247,0.32019581,0.37716835,0.07247892",0.27985372000000003
20,1000,0.0101," 0.12280579,0.12527531,0.09761134,0.1135557, 0.17642378",0.127134384
24,1000,0.1," 276.58853221, 28.56930052, 29.75171786, 29.21055665, 87.24229398",90.272480244
150,10000,0.003," 27.99204549,27.20506619,28.34435805,26.53045212,84.2142197 ",38.857228309999996
100,10000,0.0001," 0.17440968,0.1737712, 0.35758708,0.20812774,0.22580645",0.22794043
15,1000,0.001," 0.74687299,1.02514751,0.57220741,0.3827985, 1.2362127 ",0.792647822
150,1000,0.002," 0.08940461,0.13505937,0.08720289,0.20009624,0.12022671",0.126397964
